Timestep,MeanReward,RewardType,Algorithm,Environment,Seed,RunName,DemoName,NumDemos
130,15.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
131,15.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
132,16.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
133,16.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
134,16.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
135,17.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
136,17.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
137,17.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
138,17.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
139,17.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
140,17.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
141,17.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
142,17.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
143,17.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
144,17.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
145,17.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
146,18.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
147,18.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
148,18.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
149,18.0,sparse,MGAIL,Block Push - Image,seed_24,transfer_dynamics_mgail_seed_24,demos-unknown,0
0,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
1,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
2,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
3,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
4,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
5,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
6,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
7,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
8,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
9,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
10,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
11,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
12,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
13,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
14,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
15,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
16,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
17,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
18,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
19,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
20,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
21,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
22,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
23,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
24,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
25,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
26,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
27,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
28,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
29,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
30,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
31,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
32,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
33,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
34,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
35,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
36,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
